epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,815.446,1.61637,4.37405,0.0106,0.4243,0.47511,0.4359,0.22851,1.62974,1.81993,0.0151,0.0099948,0.0033316,0.0099948,0.0033316,0.0099948,0.0033316,0.0099948,0.0033316
2,1470.15,1.65771,2.03013,0.01134,0.51968,0.53737,0.50912,0.27181,1.6665,1.64938,0.01555,0.0197969,0.00659895,0.0197969,0.00659895,0.0197969,0.00659895,0.0197969,0.00659895
3,2096.82,1.7394,1.87888,0.01223,0.55201,0.51794,0.4756,0.24072,1.77985,1.72101,0.01796,0.0294009,0.0098003,0.0294009,0.0098003,0.0294009,0.0098003,0.0294009,0.0098003
4,2707.09,1.77741,1.83905,0.0127,0.61057,0.57941,0.55734,0.29315,1.74369,1.49107,0.01762,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3325.7,1.75253,1.6883,0.01252,0.66242,0.59704,0.60979,0.33112,1.64049,1.33396,0.01569,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3945.6,1.72134,1.61419,0.01212,0.67459,0.62209,0.62813,0.35077,1.6115,1.23695,0.01544,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4566.48,1.70323,1.5449,0.01182,0.69155,0.64932,0.65407,0.364,1.60405,1.14962,0.01515,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5174.04,1.68526,1.50086,0.01161,0.70257,0.67648,0.67065,0.38049,1.57523,1.10368,0.01466,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5780.26,1.66964,1.45746,0.01153,0.69945,0.68631,0.67894,0.38902,1.54765,1.09977,0.01439,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6395.93,1.65102,1.42437,0.01121,0.70988,0.68639,0.68957,0.39968,1.52359,1.05053,0.01408,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7006.46,1.6543,1.41158,0.01132,0.62839,0.7181,0.69415,0.40828,1.50127,1.02631,0.01354,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7618.64,1.64191,1.37847,0.01118,0.71372,0.71242,0.70717,0.42253,1.49712,1.00134,0.01356,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,8228.07,1.63043,1.36214,0.0111,0.71049,0.72169,0.71483,0.42478,1.48609,0.98356,0.01345,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8838.83,1.62678,1.33968,0.01098,0.73234,0.71629,0.72426,0.43959,1.46489,0.95329,0.01319,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,9453.97,1.62009,1.32974,0.01086,0.72375,0.72385,0.72267,0.43912,1.4575,0.96577,0.01288,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,10068.3,1.6093,1.3031,0.01092,0.73967,0.71976,0.73323,0.44765,1.44662,0.92627,0.01264,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,10694.1,1.6042,1.29246,0.01082,0.72967,0.74231,0.7352,0.45563,1.42586,0.90473,0.01241,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,11300.9,1.59594,1.29231,0.01074,0.7358,0.74054,0.73982,0.45742,1.4299,0.90394,0.0125,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,11917,1.5956,1.27379,0.01071,0.67545,0.76421,0.74486,0.46199,1.42257,0.89557,0.01237,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,12540.2,1.59677,1.25872,0.01066,0.66436,0.78611,0.7473,0.46685,1.41424,0.88082,0.01221,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,13153.5,1.58306,1.24555,0.01056,0.73362,0.75302,0.75045,0.47056,1.4062,0.87207,0.01208,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,13770.5,1.57786,1.23457,0.01061,0.73574,0.75123,0.75038,0.47061,1.40441,0.87202,0.01203,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,14389.8,1.58051,1.22934,0.01058,0.74296,0.74942,0.75339,0.4757,1.40218,0.86469,0.01193,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,15009.2,1.5846,1.2284,0.01043,0.73768,0.75772,0.75298,0.47616,1.39388,0.86086,0.0118,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,15627.8,1.57203,1.21643,0.0104,0.74104,0.76046,0.75458,0.47846,1.388,0.85486,0.01176,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,16245.5,1.57117,1.222,0.01031,0.66456,0.79243,0.75702,0.48071,1.3817,0.85065,0.01162,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,16861.4,1.56676,1.19189,0.01036,0.67997,0.78166,0.75735,0.48164,1.37902,0.84747,0.01161,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,17480.5,1.56186,1.19265,0.01028,0.73834,0.76423,0.75801,0.48288,1.3778,0.84738,0.01155,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,18093.7,1.55495,1.19465,0.01033,0.66566,0.795,0.7582,0.48356,1.37523,0.84763,0.01149,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,18704.9,1.55238,1.17569,0.01031,0.66107,0.80479,0.75988,0.48484,1.37434,0.84247,0.01144,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,19317.5,1.55562,1.17058,0.01022,0.66519,0.8065,0.76059,0.48493,1.37377,0.83789,0.01149,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,19934.6,1.54981,1.16235,0.01017,0.66184,0.80976,0.7609,0.48632,1.37033,0.83679,0.01145,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,20558,1.54861,1.15298,0.01011,0.66682,0.80514,0.76213,0.48784,1.36898,0.83163,0.01144,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,21179,1.53249,1.14438,0.01007,0.66698,0.80778,0.76377,0.48918,1.36705,0.82886,0.01141,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,21800.8,1.54076,1.14395,0.01015,0.67113,0.80732,0.7637,0.48936,1.36609,0.82603,0.0114,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,22412.8,1.53472,1.14768,0.01005,0.66813,0.8114,0.7643,0.48993,1.36529,0.82465,0.01141,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,23035.7,1.53024,1.13571,0.00995,0.6713,0.81096,0.76523,0.4917,1.3646,0.8213,0.01138,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,23659.5,1.52732,1.11964,0.01006,0.67345,0.81226,0.76533,0.4915,1.36378,0.82012,0.01137,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,24283.3,1.52708,1.12991,0.00993,0.67457,0.80769,0.76543,0.49141,1.3619,0.82209,0.01134,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,24907.6,1.5229,1.12025,0.01,0.67282,0.81178,0.76557,0.49248,1.36059,0.82007,0.01133,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,25537,1.51572,1.11552,0.00992,0.67274,0.8092,0.7656,0.49295,1.36074,0.81781,0.01132,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,26164.7,1.51692,1.10512,0.00984,0.67708,0.80736,0.76621,0.49331,1.36016,0.81787,0.0113,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,26785.6,1.50943,1.10501,0.00987,0.67422,0.80937,0.76646,0.49353,1.35873,0.81776,0.01127,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,27400.4,1.52331,1.09572,0.00979,0.676,0.80641,0.76624,0.49381,1.35832,0.8167,0.01127,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,28018.4,1.50754,1.08665,0.00976,0.67958,0.80538,0.76676,0.49447,1.35663,0.81727,0.01123,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,28653.9,1.5048,1.08576,0.00978,0.67503,0.80841,0.767,0.49492,1.35562,0.81733,0.01122,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,29277.4,1.5044,1.07751,0.00974,0.67737,0.8106,0.76766,0.49568,1.35486,0.81499,0.01122,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,29891,1.49635,1.06053,0.00963,0.67764,0.81037,0.76852,0.49655,1.35339,0.81411,0.01119,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,30525.1,1.49225,1.05863,0.00963,0.68785,0.80281,0.76908,0.49723,1.35228,0.81277,0.01117,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,31199.8,1.49667,1.06997,0.00967,0.68275,0.80706,0.7689,0.49774,1.35022,0.81258,0.01114,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,31855.9,1.49474,1.06059,0.00962,0.68184,0.80877,0.76945,0.49816,1.34867,0.81146,0.01111,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,32512.8,1.49241,1.05729,0.00956,0.67859,0.81179,0.76918,0.498,1.34791,0.80993,0.01108,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,33174.6,1.48501,1.04845,0.00948,0.67444,0.81473,0.76951,0.49856,1.34736,0.80777,0.01106,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,33873.8,1.4832,1.04328,0.00955,0.6765,0.81514,0.77049,0.49939,1.34626,0.80578,0.01104,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,34582.8,1.48083,1.03543,0.00953,0.67611,0.81552,0.77038,0.49978,1.34571,0.8033,0.01104,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,35304.2,1.47814,1.03098,0.0095,0.68013,0.81198,0.77113,0.50082,1.34453,0.80115,0.01103,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,36019.9,1.47512,1.01964,0.00943,0.67856,0.81431,0.77142,0.50114,1.34481,0.79777,0.01102,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,36743,1.4721,1.01954,0.00934,0.68248,0.81281,0.77201,0.50191,1.3436,0.79518,0.01102,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,37465.9,1.47337,1.01215,0.00936,0.67836,0.81598,0.77133,0.50171,1.34293,0.79362,0.01102,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,38416.3,1.45844,1.00536,0.00937,0.68104,0.81448,0.77273,0.50306,1.3419,0.79126,0.01099,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,39182.4,1.46556,1.01093,0.00934,0.68092,0.81392,0.77269,0.5034,1.34172,0.78758,0.01098,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,39894.9,1.45968,1.00201,0.00927,0.68443,0.8129,0.77206,0.50293,1.34126,0.78589,0.01097,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,40733.5,1.45645,0.99123,0.00932,0.68568,0.81614,0.77285,0.50387,1.3407,0.78362,0.01096,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,41596.8,1.45043,0.9886,0.00924,0.68749,0.81324,0.77319,0.50446,1.34026,0.78195,0.01096,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,42264.1,1.4409,0.98326,0.00917,0.6871,0.81421,0.77435,0.50555,1.33888,0.78066,0.01094,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,43082.7,1.43697,0.97753,0.00908,0.69002,0.8157,0.77378,0.5055,1.33868,0.77756,0.01093,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,43843.9,1.44182,0.97223,0.00899,0.69065,0.81471,0.77437,0.50599,1.33745,0.77639,0.01091,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,44508.4,1.44228,0.96702,0.00902,0.69712,0.81372,0.77397,0.50586,1.33695,0.77477,0.01089,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,45141.5,1.43145,0.96037,0.00899,0.69073,0.8148,0.77484,0.50651,1.33594,0.77259,0.01089,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,45755.7,1.42759,0.94992,0.00897,0.69553,0.81165,0.77541,0.5072,1.3351,0.77055,0.01088,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,46375.1,1.42542,0.95103,0.00896,0.69983,0.80983,0.77626,0.50803,1.33488,0.7685,0.01088,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,46986.6,1.41711,0.94355,0.00888,0.69964,0.81009,0.77624,0.50797,1.33457,0.76745,0.01088,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,47605.4,1.42102,0.93665,0.00891,0.69951,0.81148,0.77631,0.50853,1.33428,0.76462,0.01088,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,48226.3,1.41702,0.93885,0.00884,0.70224,0.81631,0.77753,0.50945,1.33316,0.76275,0.01085,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,48838.7,1.40838,0.93502,0.00875,0.70037,0.81868,0.77804,0.50982,1.33233,0.76109,0.01085,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,49454.7,1.40696,0.92434,0.00876,0.70245,0.81885,0.77785,0.51032,1.33168,0.76045,0.01083,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
