epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,584.438,1.50008,1.81132,1.49224,0.6301,0.66969,0.65934,0.38409,1.50889,1.25541,1.50427,0.0033316,0.0033316,0.0033316
2,1153.81,1.47338,1.29384,1.42675,0.58609,0.63213,0.62265,0.35096,1.53759,1.36355,1.53099,0.00659895,0.00659895,0.00659895
3,1718.12,1.5498,1.4449,1.48548,0.53182,0.56661,0.55371,0.2964,1.61312,1.64221,1.61862,0.0098003,0.0098003,0.0098003
4,2292.77,1.58069,1.48824,1.53167,0.65752,0.60781,0.60067,0.32476,1.57545,1.47641,1.60958,0.009703,0.009703,0.009703
5,3474.69,1.52255,1.35428,1.49749,0.69507,0.66036,0.65988,0.37239,1.51221,1.28302,1.54176,0.009604,0.009604,0.009604
6,4680.51,1.48433,1.26982,1.46527,0.69937,0.68732,0.68571,0.40354,1.46301,1.14046,1.50561,0.009505,0.009505,0.009505
7,5338.6,1.45628,1.21241,1.4517,0.6471,0.71596,0.69535,0.4174,1.42738,1.20853,1.4783,0.009406,0.009406,0.009406
8,5900.38,1.43184,1.16507,1.43218,0.70578,0.71166,0.71319,0.42999,1.41899,1.12316,1.46664,0.009307,0.009307,0.009307
9,6462.07,1.40965,1.1277,1.41732,0.73558,0.69817,0.71775,0.43942,1.39256,1.09071,1.44601,0.009208,0.009208,0.009208
10,7023.79,1.39271,1.10552,1.40675,0.72114,0.72941,0.7205,0.44621,1.37891,1.0425,1.43279,0.009109,0.009109,0.009109
11,7585.42,1.38175,1.08638,1.39725,0.73342,0.74501,0.74127,0.46261,1.35688,0.97152,1.41862,0.00901,0.00901,0.00901
12,8147.06,1.36538,1.06145,1.38683,0.68792,0.76926,0.74256,0.46753,1.34266,0.97954,1.39994,0.008911,0.008911,0.008911
13,8708.61,1.35642,1.03989,1.37765,0.66946,0.79898,0.74981,0.47501,1.33002,0.93352,1.39254,0.008812,0.008812,0.008812
14,9269.83,1.34957,1.02361,1.37436,0.69308,0.76279,0.75646,0.48451,1.31527,0.96399,1.3859,0.008713,0.008713,0.008713
15,9831.17,1.34137,1.02018,1.37128,0.66007,0.81439,0.76096,0.48979,1.30679,0.89672,1.38213,0.008614,0.008614,0.008614
16,10392.4,1.3277,0.99731,1.36477,0.66794,0.8214,0.75998,0.48782,1.30296,0.91682,1.37632,0.008515,0.008515,0.008515
17,10953.6,1.3265,0.99496,1.36409,0.66605,0.8291,0.76891,0.49921,1.29111,0.89152,1.3714,0.008416,0.008416,0.008416
18,11514.8,1.31821,0.98093,1.35511,0.68106,0.82783,0.77234,0.50198,1.28145,0.87539,1.36382,0.008317,0.008317,0.008317
19,12076.5,1.30855,0.96218,1.35017,0.67492,0.832,0.77199,0.50271,1.28075,0.88132,1.36226,0.008218,0.008218,0.008218
20,12637.3,1.30181,0.95248,1.3443,0.69055,0.82836,0.77702,0.50894,1.27693,0.86574,1.35882,0.008119,0.008119,0.008119
21,13199.1,1.29531,0.94904,1.33938,0.67474,0.83419,0.77701,0.5099,1.26538,0.87586,1.34625,0.00802,0.00802,0.00802
22,13760.8,1.29493,0.94144,1.34341,0.68683,0.8338,0.78163,0.51471,1.26572,0.86548,1.34632,0.007921,0.007921,0.007921
23,14322,1.28314,0.92945,1.33847,0.69814,0.83149,0.78328,0.51712,1.26126,0.89756,1.34573,0.007822,0.007822,0.007822
24,14882.8,1.27842,0.92355,1.33093,0.69926,0.83382,0.78205,0.51546,1.25797,0.87672,1.34338,0.007723,0.007723,0.007723
25,15443.5,1.26964,0.91413,1.33055,0.68481,0.8453,0.78236,0.51691,1.25487,0.8578,1.34163,0.007624,0.007624,0.007624
26,16004.3,1.26606,0.90592,1.3271,0.69074,0.84237,0.7839,0.51975,1.25173,0.8356,1.34011,0.007525,0.007525,0.007525
27,16565.9,1.26141,0.89744,1.31933,0.69106,0.84514,0.78424,0.52083,1.24847,0.8198,1.33707,0.007426,0.007426,0.007426
28,17126.4,1.25845,0.90035,1.32102,0.6917,0.84273,0.78525,0.52174,1.24621,0.82876,1.33505,0.007327,0.007327,0.007327
29,17687.1,1.2558,0.89216,1.31247,0.69079,0.8439,0.78596,0.52376,1.24426,0.83181,1.33307,0.007228,0.007228,0.007228
30,18248.2,1.24747,0.87954,1.31406,0.69432,0.84475,0.78697,0.5246,1.24244,0.82793,1.33224,0.007129,0.007129,0.007129
