epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1142.8,2.05037,2.83535,1.89329,0.5098,0.22259,0.16238,0.05967,2.15979,2.91863,2.05463,0.00333247,0.00333247,0.0700078
2,1852,1.9159,2.39944,1.79089,0.37479,0.41318,0.31079,0.13623,1.89525,2.26128,1.8414,0.00653382,0.00653382,0.0398758
3,2542.64,1.82297,2.14925,1.71435,0.40776,0.47569,0.37886,0.17662,1.76722,2.05449,1.76467,0.00960317,0.00960317,0.00961183
4,3228.22,1.76112,2.01479,1.66218,0.47515,0.51148,0.43347,0.20806,1.70785,1.90271,1.69251,0.009406,0.009406,0.009406
5,3924.82,1.71487,1.88873,1.62615,0.54097,0.50863,0.47946,0.23716,1.68638,1.80677,1.68504,0.009208,0.009208,0.009208
6,4647.45,1.67934,1.80718,1.59261,0.50925,0.55545,0.51423,0.26683,1.63261,1.71382,1.63368,0.00901,0.00901,0.00901
7,5372.58,1.65941,1.75158,1.57535,0.54201,0.5553,0.54345,0.28536,1.60856,1.65019,1.61531,0.008812,0.008812,0.008812
8,6096.72,1.63064,1.69272,1.56111,0.5807,0.59983,0.57083,0.30664,1.57796,1.55358,1.59311,0.008614,0.008614,0.008614
9,6817.39,1.61257,1.64034,1.53906,0.61624,0.59377,0.59035,0.32502,1.55498,1.53346,1.57301,0.008416,0.008416,0.008416
10,7538.71,1.59642,1.60292,1.5235,0.61561,0.6252,0.60319,0.33367,1.54234,1.47537,1.55103,0.008218,0.008218,0.008218
11,8265.27,1.5855,1.58108,1.52222,0.63701,0.62866,0.61057,0.3411,1.51965,1.41857,1.53277,0.00802,0.00802,0.00802
12,8987.21,1.57178,1.52954,1.50427,0.66021,0.63397,0.62685,0.35349,1.5066,1.41456,1.51951,0.007822,0.007822,0.007822
13,9673.35,1.5665,1.50598,1.49756,0.67153,0.64798,0.63865,0.36439,1.5045,1.35695,1.51475,0.007624,0.007624,0.007624
14,10357.1,1.55045,1.47145,1.48718,0.67211,0.65374,0.64187,0.37004,1.48871,1.34721,1.50216,0.007426,0.007426,0.007426
15,11035.2,1.54282,1.45258,1.48013,0.68509,0.65827,0.65094,0.3764,1.48384,1.30129,1.49273,0.007228,0.007228,0.007228
16,11708.7,1.52971,1.43598,1.47075,0.68071,0.6666,0.65372,0.38019,1.4717,1.28157,1.48355,0.00703,0.00703,0.00703
17,12390.6,1.52009,1.4128,1.46119,0.68575,0.66864,0.65987,0.38486,1.46684,1.26353,1.47954,0.006832,0.006832,0.006832
18,13071.2,1.50984,1.39742,1.45525,0.68538,0.67357,0.66833,0.39136,1.45792,1.25122,1.46918,0.006634,0.006634,0.006634
19,13758.5,1.5053,1.37259,1.44633,0.69961,0.67761,0.67679,0.39803,1.45432,1.22043,1.4648,0.006436,0.006436,0.006436
20,14443.2,1.49148,1.35288,1.43812,0.70529,0.67923,0.68121,0.40286,1.44886,1.22779,1.45962,0.006238,0.006238,0.006238
21,15129.4,1.49363,1.35124,1.43545,0.71327,0.68126,0.68504,0.40697,1.4432,1.21074,1.4536,0.00604,0.00604,0.00604
22,15821.2,1.47957,1.33796,1.43178,0.71273,0.68699,0.68853,0.40923,1.43724,1.19142,1.4496,0.005842,0.005842,0.005842
23,16510.8,1.47393,1.31443,1.42382,0.71386,0.68918,0.68966,0.4122,1.43225,1.17551,1.44424,0.005644,0.005644,0.005644
24,17191.2,1.47134,1.30329,1.41674,0.7182,0.69078,0.69479,0.41623,1.42616,1.16527,1.43942,0.005446,0.005446,0.005446
25,17862.5,1.45954,1.28386,1.41135,0.72636,0.68958,0.69743,0.41857,1.42357,1.15173,1.43705,0.005248,0.005248,0.005248
26,18531.2,1.45671,1.27616,1.40867,0.7252,0.6928,0.69959,0.42098,1.41992,1.14258,1.434,0.00505,0.00505,0.00505
27,19215.4,1.45731,1.26998,1.40469,0.72422,0.69483,0.70111,0.42318,1.41555,1.1353,1.43046,0.004852,0.004852,0.004852
28,19918.5,1.44457,1.24827,1.40017,0.72766,0.69935,0.70341,0.42487,1.41263,1.12605,1.42857,0.004654,0.004654,0.004654
29,20693.3,1.44028,1.23481,1.3963,0.72751,0.69941,0.70469,0.4261,1.41062,1.11844,1.42686,0.004456,0.004456,0.004456
30,21857.1,1.43691,1.22719,1.39417,0.72719,0.69994,0.70577,0.42707,1.40894,1.11444,1.42537,0.004258,0.004258,0.004258
31,23026.7,1.4297,1.22628,1.38569,0.72708,0.70047,0.70733,0.42835,1.40745,1.10893,1.4237,0.00406,0.00406,0.00406
32,24252.6,1.42606,1.20874,1.38133,0.72757,0.70143,0.70853,0.42935,1.40581,1.10479,1.42163,0.003862,0.003862,0.003862
33,25557.7,1.41527,1.19056,1.37677,0.72785,0.70226,0.70949,0.43072,1.40454,1.10124,1.42024,0.003664,0.003664,0.003664
34,26747.1,1.41431,1.18779,1.3789,0.72864,0.70121,0.70999,0.43139,1.40303,1.09791,1.41876,0.003466,0.003466,0.003466
35,27942.8,1.41699,1.18229,1.37588,0.72963,0.70262,0.71045,0.4323,1.40163,1.09535,1.41726,0.003268,0.003268,0.003268
36,29131,1.40181,1.17552,1.3698,0.73047,0.70401,0.71129,0.4333,1.4001,1.09241,1.41594,0.00307,0.00307,0.00307
37,30370.7,1.39908,1.16673,1.36614,0.72879,0.7078,0.7119,0.43417,1.39903,1.08894,1.41461,0.002872,0.002872,0.002872
38,31580.4,1.39681,1.16326,1.36602,0.7295,0.70714,0.71286,0.4351,1.39766,1.08614,1.4133,0.002674,0.002674,0.002674
39,32861.8,1.39247,1.1517,1.35879,0.72941,0.7082,0.71369,0.4356,1.39648,1.08218,1.41221,0.002476,0.002476,0.002476
40,34166.4,1.39118,1.13712,1.35492,0.72937,0.71045,0.71442,0.43611,1.39535,1.07886,1.41112,0.002278,0.002278,0.002278
41,35362.1,1.37274,1.0259,1.3918,0.73,0.71177,0.7155,0.43738,1.39341,1.07437,1.40945,0.00208,0.00208,0.00208
42,36537.7,1.3652,0.99581,1.38263,0.73139,0.71168,0.71627,0.43869,1.3916,1.06935,1.40766,0.001882,0.001882,0.001882
43,37697.3,1.36004,0.9869,1.38369,0.7331,0.71284,0.7176,0.4399,1.38957,1.06491,1.40593,0.001684,0.001684,0.001684
44,38864.2,1.34921,0.97598,1.37157,0.73594,0.71202,0.71856,0.44087,1.38791,1.0612,1.40431,0.001486,0.001486,0.001486
45,39932,1.34718,0.96678,1.3711,0.73725,0.71248,0.7197,0.442,1.38607,1.05778,1.40253,0.001288,0.001288,0.001288
46,41177.4,1.34057,0.96013,1.36971,0.73496,0.71881,0.72146,0.44346,1.38458,1.05341,1.40096,0.00109,0.00109,0.00109
47,42430.6,1.33361,0.95126,1.35948,0.73587,0.7179,0.72262,0.4443,1.38297,1.04965,1.3996,0.000892,0.000892,0.000892
48,43740.6,1.32986,0.94564,1.35879,0.73557,0.71895,0.72381,0.44552,1.38132,1.04566,1.39827,0.000694,0.000694,0.000694
49,45343.9,1.3237,0.93836,1.35378,0.73639,0.71955,0.72468,0.44634,1.37968,1.04232,1.39691,0.000496,0.000496,0.000496
50,46873.7,1.32234,0.93498,1.35589,0.73665,0.72,0.72566,0.44706,1.37807,1.03885,1.3955,0.000298,0.000298,0.000298
