epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,604.314,1.51352,1.82272,1.4722,0.59291,0.64949,0.62733,0.35233,1.54539,1.35224,1.51025,0.0033316,0.0033316,0.0033316
2,1182.09,1.5175,1.36441,1.44224,0.56866,0.56614,0.55291,0.28262,1.64793,1.45613,1.6057,0.00659895,0.00659895,0.00659895
3,1749.55,1.606,1.54562,1.52156,0.46144,0.51039,0.45945,0.21621,1.79742,1.84404,1.73417,0.0098003,0.0098003,0.0098003
4,2313.24,1.62266,1.58822,1.55501,0.63215,0.60127,0.5821,0.31412,1.58556,1.53342,1.62372,0.009703,0.009703,0.009703
5,2877.1,1.55503,1.43699,1.52447,0.67164,0.6423,0.6392,0.35421,1.54999,1.34535,1.58227,0.009604,0.009604,0.009604
6,3440.05,1.51045,1.33286,1.49166,0.67948,0.68523,0.6716,0.38807,1.48964,1.20777,1.54382,0.009505,0.009505,0.009505
7,4004.25,1.48311,1.27251,1.47669,0.6464,0.6887,0.68646,0.40218,1.45481,1.34835,1.51561,0.009406,0.009406,0.009406
8,4566.91,1.45866,1.22352,1.45529,0.685,0.70398,0.70028,0.41618,1.4404,1.28921,1.49063,0.009307,0.009307,0.009307
9,5131.48,1.43586,1.18592,1.4442,0.72656,0.69479,0.70523,0.42793,1.40915,1.10945,1.48031,0.009208,0.009208,0.009208
10,5694.84,1.41928,1.15478,1.43008,0.65051,0.73802,0.72621,0.44245,1.39748,1.07996,1.46109,0.009109,0.009109,0.009109
11,6258.24,1.41387,1.13385,1.42298,0.73558,0.73043,0.72986,0.44939,1.377,1.13738,1.44961,0.00901,0.00901,0.00901
12,6821.82,1.39347,1.10577,1.41527,0.66894,0.74748,0.73434,0.45828,1.35986,1.03536,1.43538,0.008911,0.008911,0.008911
13,7384.8,1.38311,1.08364,1.40743,0.64886,0.79308,0.7431,0.46726,1.34734,0.99766,1.42345,0.008812,0.008812,0.008812
14,7949.11,1.37482,1.0676,1.40164,0.68749,0.7638,0.75128,0.47687,1.32876,1.01893,1.405,0.008713,0.008713,0.008713
15,8511.38,1.37214,1.06545,1.39745,0.67205,0.77137,0.75523,0.47846,1.32756,0.94601,1.40628,0.008614,0.008614,0.008614
16,9074.14,1.35948,1.04219,1.3934,0.65375,0.82052,0.75476,0.4821,1.31878,0.97614,1.39998,0.008515,0.008515,0.008515
17,9637.13,1.35597,1.03871,1.38197,0.68126,0.77483,0.76244,0.49072,1.30753,0.90447,1.38586,0.008416,0.008416,0.008416
18,10199,1.34805,1.02125,1.378,0.66389,0.82573,0.76685,0.4954,1.29567,0.89185,1.37779,0.008317,0.008317,0.008317
19,10761.7,1.3388,1.00496,1.37568,0.66304,0.8318,0.76637,0.4956,1.29356,0.8701,1.37843,0.008218,0.008218,0.008218
20,11323.5,1.33336,0.9957,1.37034,0.67389,0.82787,0.76666,0.49886,1.28957,0.90317,1.37638,0.008119,0.008119,0.008119
21,11894.7,1.32543,0.99257,1.36887,0.67387,0.8327,0.77208,0.50311,1.28035,0.87621,1.36745,0.00802,0.00802,0.00802
22,12464.6,1.32515,0.98331,1.36862,0.67994,0.83695,0.77691,0.50794,1.2759,0.87779,1.36456,0.007921,0.007921,0.007921
23,13036.2,1.31542,0.97238,1.36337,0.68509,0.83384,0.77502,0.5085,1.27175,0.9027,1.36188,0.007822,0.007822,0.007822
24,13607,1.31188,0.96845,1.358,0.68845,0.83504,0.77584,0.50978,1.2658,0.85704,1.35712,0.007723,0.007723,0.007723
25,14176.6,1.30172,0.95771,1.34887,0.68509,0.83655,0.77742,0.5117,1.2635,0.8466,1.35251,0.007624,0.007624,0.007624
26,14744.8,1.29768,0.94814,1.34626,0.68427,0.83886,0.77903,0.51374,1.2605,0.84239,1.35113,0.007525,0.007525,0.007525
27,15304.2,1.2992,0.93805,1.3469,0.69009,0.83863,0.78067,0.51669,1.25884,0.83231,1.35055,0.007426,0.007426,0.007426
28,15863.8,1.29321,0.93885,1.3442,0.69047,0.83986,0.78086,0.51765,1.25669,0.83939,1.34874,0.007327,0.007327,0.007327
29,16424.3,1.29196,0.92951,1.33955,0.69509,0.83663,0.78302,0.51893,1.25419,0.82888,1.3466,0.007228,0.007228,0.007228
30,16984.4,1.28216,0.92099,1.33365,0.69604,0.83897,0.7838,0.51949,1.2523,0.81911,1.34503,0.007129,0.007129,0.007129
31,17544.2,1.27735,0.91996,1.33043,0.69338,0.84256,0.78489,0.52078,1.25009,0.81389,1.34326,0.00703,0.00703,0.00703
32,18103.6,1.2781,0.92323,1.33082,0.69436,0.84294,0.78625,0.52264,1.24857,0.80819,1.34163,0.006931,0.006931,0.006931
33,18663.5,1.2702,0.90787,1.33103,0.69281,0.84675,0.78697,0.52374,1.2468,0.80942,1.34011,0.006832,0.006832,0.006832
34,19223.4,1.2707,0.90016,1.32381,0.69352,0.84625,0.78708,0.52398,1.24579,0.80594,1.33907,0.006733,0.006733,0.006733
35,19783.5,1.265,0.90155,1.32732,0.69333,0.84572,0.78772,0.52445,1.24455,0.80441,1.33808,0.006634,0.006634,0.006634
36,20343.6,1.25928,0.89208,1.31964,0.69424,0.84508,0.78858,0.525,1.24315,0.80286,1.33683,0.006535,0.006535,0.006535
37,20903.1,1.2638,0.89163,1.3222,0.69527,0.84547,0.78781,0.52499,1.24219,0.80133,1.33626,0.006436,0.006436,0.006436
38,21462.2,1.25486,0.8786,1.31989,0.69749,0.84678,0.78761,0.52523,1.2414,0.79914,1.33565,0.006337,0.006337,0.006337
39,22022,1.25023,0.87208,1.31765,0.69755,0.84562,0.78786,0.52556,1.24049,0.79843,1.33502,0.006238,0.006238,0.006238
40,22581.5,1.24876,0.87464,1.31718,0.69969,0.84472,0.78782,0.52585,1.24004,0.79673,1.33483,0.006139,0.006139,0.006139
41,23141.3,1.24115,0.8691,1.31043,0.70131,0.8441,0.78837,0.52653,1.23906,0.79286,1.33435,0.00604,0.00604,0.00604
